cvx_code,short_description,full_vaccine_name,note,vaccine_status,internal_id,nonvaccine,update_date
54,"adenovirus, type 4","adenovirus vaccine, type 4, live, oral",,Inactive,1,False,2010-05-28
55,"adenovirus, type 7","adenovirus vaccine, type 7, live, oral",,Inactive,2,False,2010-05-28
82,"adenovirus, unspecified formulation","adenovirus vaccine, unspecified formulation","This CVX code allows reporting of a vaccination when formulation is unknown (for example, when recording a adenovirus vaccination when noted on a vaccination card)",Inactive,3,False,2010-09-30
24,"Anthrax, pre-exposure prophylaxis, post-exposure prophylaxis","Anthrax vaccine, adsorbed, pre-exposure and post-exposure prophylaxis",,Active,4,False,2024-01-25
19,BCG,Bacillus Calmette-Guerin vaccine,,Active,5,False,2010-05-28
27,botulinum antitoxin,botulinum antitoxin,,Active,6,True,2020-09-04
26,"cholera, unspecified formulation","cholera vaccine, unspecified formulation",,Inactive,7,False,2016-06-17
29,CMVIG,"cytomegalovirus immune globulin, intravenous",,Active,8,True,2020-09-04
56,dengue fever tetravalent,"dengue fever vaccine, tetravalent",Applies to tetravalent product (e.g. DENGVAXIA),Active,9,False,2024-12-11
12,diphtheria antitoxin,diphtheria antitoxin,,Active,10,True,2020-09-04
28,DT (pediatric),"diphtheria and tetanus toxoids, adsorbed for pediatric use",Retired effective 04/30/2023.  All vaccine NDCs retired.  No further vaccines expected for this formulation.,Inactive,11,False,2024-12-06
20,DTaP,"diphtheria, tetanus toxoids and acellular pertussis vaccine",,Active,12,False,2010-05-28
106,"DTaP, 5 pertussis antigens","diphtheria, tetanus toxoids and acellular pertussis vaccine, 5 pertussis antigens",,Active,13,False,2010-05-28
107,"DTaP, unspecified formulation","diphtheria, tetanus toxoids and acellular pertussis vaccine, unspecified formulation","This CVX code allows reporting of a vaccination when formulation is unknown (for example, when recording a DTaP vaccination when noted on a vaccination card)",Inactive,14,False,2010-09-30
110,DTaP-Hep B-IPV,DTaP-hepatitis B and poliovirus vaccine,,Active,15,False,2010-05-28
50,DTaP-Hib,DTaP-Haemophilus influenzae type b conjugate vaccine,,Inactive,16,False,2017-03-20
120,DTaP-Hib-IPV,"diphtheria, tetanus toxoids and acellular pertussis vaccine, Haemophilus influenzae type b conjugate, and poliovirus vaccine, inactivated (DTaP-Hib-IPV)",,Active,17,False,2010-05-28
130,DTaP-IPV,"Diphtheria, tetanus toxoids and acellular pertussis vaccine, and poliovirus vaccine, inactivated",,Active,19,False,2010-05-28
1,DTP,"diphtheria, tetanus toxoids and pertussis vaccine",,Inactive,21,False,2010-05-28
22,DTP-Hib,DTP-Haemophilus influenzae type b conjugate vaccine,,Inactive,22,False,2017-03-23
102,DTP-Hib-Hep B,DTP- Haemophilus influenzae type b conjugate and hepatitis b vaccine,"This CVX has been corrected. This non-US vaccine contained DTP, Hib and Hep B. It was withdrawn in 2007 .",Non-US,23,False,2016-05-20
57,hantavirus,hantavirus vaccine,,Never Active,24,False,2020-09-09
52,"Hep A, adult","hepatitis A vaccine, adult dosage",,Active,25,False,2010-05-28
83,"Hep A, ped/adol, 2 dose","hepatitis A vaccine, pediatric/adolescent dosage, 2 dose schedule",,Active,26,False,2010-05-28
84,"Hep A, ped/adol, 3 dose","hepatitis A vaccine, pediatric/adolescent dosage, 3 dose schedule","This vaccine formulation is inactive and should not be used, except to record historic vaccinations with this formulation.",Inactive,27,False,2010-05-28
31,"Hep A, pediatric, unspecified formulation","hepatitis A vaccine, pediatric dosage, unspecified formulation","Do NOT use this code.  If formulation is unknown, use CVX 85.  There is only one formulation of Hep A, peds.",Inactive,28,False,2010-09-30
85,"Hep A, unspecified formulation","hepatitis A vaccine, unspecified formulation","This CVX code allows reporting of a vaccination when formulation is unknown (for example, when recording a HepA vaccination when noted on a vaccination card)",Inactive,29,False,2010-09-30
104,Hep A-Hep B,hepatitis A and hepatitis B vaccine,,Active,30,False,2010-05-28
30,HBIG,hepatitis B immune globulin,,Active,31,True,2020-09-04
8,"Hep B, adolescent or pediatric","hepatitis B vaccine, pediatric or pediatric/adolescent dosage",This code applies to any standard pediatric formulation of Hepatitis B vaccine. It should not be used for the 2-dose hepatitis B schedule for adolescents (11-15 year olds). Use code 43 for that vaccine.,Active,32,False,2024-12-16
42,"Hep B, adolescent/high risk infant","hepatitis B vaccine, adolescent/high risk infant dosage","As of August 27, 1998, Merck ceased distribution of their adolescent/high risk infant hepatitis B vaccine dosage. Code 42 should only be used to record historical records. For current administration of hepatitis B vaccine, pediatric/adolescent dosage, use code 08.",Inactive,33,False,2010-05-28
43,"Hep B, adult","hepatitis B vaccine, adult dosage",This code applies to any standard adult dose and schedule. Also use CVX 43 for the FDA approved Recombivax HB 2-dose hepatitis B schedule for adolescents (11-15 year olds) using the adult formulation. ,Active,34,False,2024-12-12
